provider,sourceType,sourceCode,sourceDescription,canonicalConcept,conceptGroup,signalClass,severity,direction,requiresReview,canContributeToDecline,dedupeKey,narrativeKey,notes,status,displayLabel
middesk,mcc_code,5655,Sports and Riding Apparel Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5655,,,active,Sports and Riding Apparel Stores
middesk,mcc_code,5661,Shoe Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5661,,,active,Shoe Stores
middesk,mcc_code,5681,Furriers and Fur Shops (MCC),business_classification_context,business,business,low,neutral,false,false,5681,,,active,Furriers and Fur Shops
middesk,mcc_code,5691,"Mens, Womens Clothing Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5691,,,active,"Mens, Womens Clothing Stores"
middesk,mcc_code,5697,"Tailors, Alterations (MCC)",business_classification_context,business,business,low,neutral,false,false,5697,,,active,"Tailors, Alterations"
middesk,mcc_code,5698,Wig and Toupee Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5698,,,active,Wig and Toupee Stores
middesk,mcc_code,5699,Miscellaneous Apparel and Accessory Shops (MCC),business_classification_context,business,business,low,neutral,false,false,5699,,,active,Miscellaneous Apparel and Accessory Shops
middesk,mcc_code,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances (MCC)",business_classification_context,business,business,low,neutral,false,false,5712,,,active,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances"
middesk,mcc_code,5713,Floor Covering Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5713,,,active,Floor Covering Stores
middesk,mcc_code,5714,"Drapery, Window Covering, and Upholstery Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5714,,,active,"Drapery, Window Covering, and Upholstery Stores"
middesk,mcc_code,5718,"Fireplace, Fireplace Screens, and Accessories Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5718,,,active,"Fireplace, Fireplace Screens, and Accessories Stores"
middesk,mcc_code,5719,Miscellaneous Home Furnishing Specialty Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5719,,,active,Miscellaneous Home Furnishing Specialty Stores
middesk,mcc_code,5722,Household Appliance Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5722,,,active,Household Appliance Stores
middesk,mcc_code,5732,Electronics Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5732,,,active,Electronics Stores
middesk,mcc_code,5733,"Music Stores-Musical Instruments, Pianos, and Sheet Music (MCC)",business_classification_context,business,business,low,neutral,false,false,5733,,,active,"Music Stores-Musical Instruments, Pianos, and Sheet Music"
middesk,mcc_code,5734,Computer Software Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5734,,,active,Computer Software Stores
middesk,mcc_code,5735,Record Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5735,,,active,Record Stores
middesk,mcc_code,5811,Caterers (MCC),business_classification_context,business,business,low,neutral,false,false,5811,,,active,Caterers
middesk,mcc_code,5812,"Eating Places, Restaurants (MCC)",business_classification_context,business,business,low,neutral,false,false,5812,,,active,"Eating Places, Restaurants"
middesk,mcc_code,5813,Drinking Places (MCC),business_classification_context,business,business,low,neutral,false,false,5813,,,active,Drinking Places
middesk,mcc_code,5814,Fast Food Restaurants (MCC),business_classification_context,business,business,low,neutral,false,false,5814,,,active,Fast Food Restaurants
middesk,mcc_code,5815,"Digital Goods Media – Books, Movies, Music (MCC)",business_classification_context,business,business,low,neutral,false,false,5815,,,active,"Digital Goods Media – Books, Movies, Music"
middesk,mcc_code,5816,Digital Goods – Games (MCC),business_classification_context,business,business,low,neutral,false,false,5816,,,active,Digital Goods – Games
middesk,mcc_code,5817,Digital Goods – Applications (Excludes Games) (MCC),business_classification_context,business,business,low,neutral,false,false,5817,,,active,Digital Goods – Applications (Excludes Games)
middesk,mcc_code,5818,Digital Goods – Large Digital Goods Merchant (MCC),business_classification_context,business,business,low,neutral,false,false,5818,,,active,Digital Goods – Large Digital Goods Merchant
middesk,mcc_code,5912,Drug Stores and Pharmacies (MCC),business_classification_context,business,business,low,neutral,false,false,5912,,,active,Drug Stores and Pharmacies
middesk,mcc_code,5921,"Package Stores-Beer, Wine, and Liquor (MCC)",business_classification_context,business,business,low,neutral,false,false,5921,,,active,"Package Stores-Beer, Wine, and Liquor"
middesk,mcc_code,5931,Used Merchandise and Secondhand Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5931,,,active,Used Merchandise and Secondhand Stores
middesk,mcc_code,5932,Antique Shops (MCC),business_classification_context,business,business,low,neutral,false,false,5932,,,active,Antique Shops
middesk,mcc_code,5933,Pawn Shops (MCC),business_financial_services,compliance,business,high,negative,true,true,5933,,,active,Pawn Shops
middesk,mcc_code,5935,Wrecking and Salvage Yards (MCC),business_classification_context,business,business,low,neutral,false,false,5935,,,active,Wrecking and Salvage Yards
middesk,mcc_code,5937,Antique Reproductions (MCC),business_classification_context,business,business,low,neutral,false,false,5937,,,active,Antique Reproductions
middesk,mcc_code,5940,Bicycle Shops (MCC),business_classification_context,business,business,low,neutral,false,false,5940,,,active,Bicycle Shops
middesk,mcc_code,5941,Sporting Goods Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5941,,,active,Sporting Goods Stores
middesk,mcc_code,5942,Book Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5942,,,active,Book Stores
middesk,mcc_code,5943,"Stationery Stores, Office, and School Supply Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5943,,,active,"Stationery Stores, Office, and School Supply Stores"
middesk,mcc_code,5944,"Jewelry Stores, Watches, Clocks, and Silverware Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5944,,,active,"Jewelry Stores, Watches, Clocks, and Silverware Stores"
middesk,mcc_code,5945,"Hobby, Toy, and Game Shops (MCC)",business_classification_context,business,business,low,neutral,false,false,5945,,,active,"Hobby, Toy, and Game Shops"
middesk,mcc_code,5946,Camera and Photographic Supply Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5946,,,active,Camera and Photographic Supply Stores
middesk,mcc_code,5947,"Gift, Card, Novelty, and Souvenir Shops (MCC)",business_classification_context,business,business,low,neutral,false,false,5947,,,active,"Gift, Card, Novelty, and Souvenir Shops"
middesk,mcc_code,5948,Luggage and Leather Goods Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5948,,,active,Luggage and Leather Goods Stores
middesk,mcc_code,5949,"Sewing, Needlework, Fabric, and Piece Goods Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5949,,,active,"Sewing, Needlework, Fabric, and Piece Goods Stores"
middesk,mcc_code,5950,"Glassware, Crystal Stores (MCC)",business_classification_context,business,business,low,neutral,false,false,5950,,,active,"Glassware, Crystal Stores"
middesk,mcc_code,5960,Direct Marketing - Insurance Services (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5960,,,active,Direct Marketing - Insurance Services
middesk,mcc_code,5962,Direct Marketing - Travel (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5962,,,active,Direct Marketing - Travel
middesk,mcc_code,5963,Door-To-Door Sales (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5963,,,active,Door-To-Door Sales
middesk,mcc_code,5964,Direct Marketing - Catalog Merchant (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5964,,,active,Direct Marketing - Catalog Merchant
middesk,mcc_code,5965,Direct Marketing - Combination Catalog and Retail Merchant (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5965,,,active,Direct Marketing - Combination Catalog and Retail Merchant
middesk,mcc_code,5966,Direct Marketing - Outbound Telemarketing (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5966,,,active,Direct Marketing - Outbound Telemarketing
middesk,mcc_code,5967,Direct Marketing - Inbound Telemarketing (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5967,,,active,Direct Marketing - Inbound Telemarketing
middesk,mcc_code,5968,Direct Marketing - Subscription (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5968,,,active,Direct Marketing - Subscription
middesk,mcc_code,5969,Direct Marketing - Other (MCC),business_high_risk_marketing,compliance,business,medium,negative,true,false,5969,,,active,Direct Marketing - Other
middesk,mcc_code,5970,Artists Supply and Craft Shops (MCC),business_classification_context,business,business,low,neutral,false,false,5970,,,active,Artists Supply and Craft Shops
middesk,mcc_code,5971,Art Dealers and Galleries (MCC),business_classification_context,business,business,low,neutral,false,false,5971,,,active,Art Dealers and Galleries
middesk,mcc_code,5972,Stamp and Coin Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5972,,,active,Stamp and Coin Stores
middesk,mcc_code,5973,Religious Goods Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5973,,,active,Religious Goods Stores
middesk,mcc_code,5975,Hearing Aids Sales and Supplies (MCC),business_classification_context,business,business,low,neutral,false,false,5975,,,active,Hearing Aids Sales and Supplies
middesk,mcc_code,5976,Orthopedic Goods - Prosthetic Devices (MCC),business_classification_context,business,business,low,neutral,false,false,5976,,,active,Orthopedic Goods - Prosthetic Devices
middesk,mcc_code,5977,Cosmetic Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5977,,,active,Cosmetic Stores
middesk,mcc_code,5978,Typewriter Stores (MCC),business_classification_context,business,business,low,neutral,false,false,5978,,,active,Typewriter Stores
